Lat,Lon
38.0009,-100.9967
38.0145,-97.9409
38.9474,-99.5608
38.4646,-100.9064
38.5728,-95.265
39.3642,-101.0325
39.0008,-84.6458
37.8436,-84.3253
37.4165,-87.4746
36.9771,-84.1122
37.522,-85.8823
37.8274,-85.7245
36.9749,-84.107
38.8783,-84.6256
38.9191,-84.6258
37.2553,-87.4488
38.3648,-82.6966
36.662,-86.5536
36.6972,-87.4554
38.1567,-85.0673
38.8573,-84.6257
38.9176,-84.6326
38.2099,-85.3481
38.2762,-84.5543
37.0979,-88.6912
38.0605,-85.7031
37.0073,-88.4771
36.6434,-83.7001
37.5992,-85.8781
36.716,-86.5258
38.2761,-84.5597
37.596,-85.8649
36.6783,-87.4044
38.4544,-85.2978
37.9808,-85.695
36.7218,-84.1683
36.7177,-86.5248
36.6925,-87.451
38.4572,-85.2997
38.345,-82.9419
37.6552,-85.887
38.3795,-84.5726
38.1517,-85.0703
38.6937,-84.9386
38.0861,-83.8982
37.2007,-85.9354
31.3607,-92.5881
32.4456,-94.0067
30.7864,-92.1827
30.2592,-92.0153
30.2537,-93.0147
30.2839,-89.75
30.2339,-92.4578
32.4458,-93.9003
30.4808,-90.4567
32.4444,-93.9789
32.3931,-91.1992
30.4775,-90.456
32.4591,-91.7594
30.5467,-91.9635
30.4458,-91.2439
30.2478,-93.0139
30.2944,-91.914
32.545,-93.5165
30.452,-90.9574
30.0855,-90.4446
30.2528,-92.1936
32.4108,-91.185
32.508,-92.1935
29.973,-90.2995
30.1724,-93.5872
32.583,-93.2508
32.4439,-93.9486
42.1617,-72.5481
42.0654,-72.1088
42.1099,-72.6103
39.6406,-75.8014
39.1775,-76.7883
39.6726,-78.7167
39.5897,-76.0655
39.6254,-75.9492
39.2875,-76.5567
39.634,-77.8068
39.6999,-77.7333
39.6919,-79.1007
39.6291,-77.7839
39.6383,-75.8076
44.7797,-68.8186
43.3417,-83.8669
42.2964,-83.8758
41.9031,-83.3717
42.7403,-86.0711
41.8839,-86.6002
41.8875,-86.6003
41.9652,-83.3441
42.0897,-86.4124
42.7875,-84.6783
43.4517,-83.8948
42.7824,-86.0231
43.3487,-83.8618
42.9896,-82.933
42.1368,-83.2401
42.1058,-84.9942
41.9633,-83.3538
42.296,-83.8795
42.3025,-85.0807
42.2811,-84.9294
42.303,-85.0824
42.3017,-83.8769
42.8833,-85.0738
41.9244,-83.366
41.799,-83.6943
42.9767,-82.5416
45.1956,-93.5528
46.7042,-92.4244
45.496,-94.149
46.4514,-92.7667
43.6714,-93.3236
44.185,-94.0108
44.4705,-93.2955
44.7808,-93.0333
43.6587,-93.3176
45.8609,-95.4234
45.4142,-94.0664
39.7622,-92.5633
39.7264,-94.7869
38.8172,-90.9586
38.6852,-90.2185
39.0144,-94.1294
39.0144,-94.1286
38.636,-94.3554
37.0554,-94.43
37.2725,-93.12
36.7602,-89.5417
38.7233,-94.4516
38.2259,-91.1586
