Location ID,Name,Address,City,State,Zip Code,Latitude,Longitude,Place_Name,Is Found?,Trimble MAPS Street Address,Trimble MAPS City,Trimble MAPS State,Trimble MAPS Postal Code,Trimble MAPS Latitude,Trimble MAPS Longitude,Trimble MAPS Confidence Level,Trimble MAPS Geocoding Errors,Distance Between Original and Trimble MAPS,,Location_ID,Place_Name,Is_Found?,
AB337     ,FLYING J 793                  ,4216 72 AVENUE SE             ,CALGARY        ,AB,T2C2C ,50.99,-113.9749, @Flying J Fuel Stop #793, True,,Calgary,AB,T2C 2L6,50.989591,-113.974583,1 - Exact,,0.1,,AB337     , @Flying J Fuel Stop #793, True,
AB339     ,FLYING J 795                  ,302 20 AVENUE                 ,NISKU          ,AB,T9E7T ,53.3394,-113.5427, @Flying J Fuel Stop #795, True,,Nisku,AB,T9E 7Z9,53.337926,-113.51353,1 - Exact,,1.5,,AB339     , NOT FOUND, False,
AB340     ,FLYING J 796                  ,6607 67TH STREET              ,RED DEER       ,AB,T4P1A ,52.2885,-113.8466, NOT FOUND, False,,Red Deer,AB,T4P 1A4,52.288445,-113.848343,1 - Exact,,1,,AB340     , NOT FOUND, False,
AB341     ,FLYING J 797                  ,"HWY #49 & 2, BOX 73           ",RYCROFT        ,AB,T0H3A ,55.7564,-118.6986, NOT FOUND, False,,Rycroft,AB,,55.756346,-118.698524,1 - Exact,,0,,AB341     , NOT FOUND, False,
AB402     ,ESSOREDCLIFF CARDLOCK         ,1900 SOUTH HIGHWAY RD         ,REDCLIFF       ,AB,T0J2P ,50.07,-110.7569, @Trans-Canada Truck Stop, True,,Redcliff,AB,T0J 2P0,50.070224,-110.756024,1 - Exact,Input does not include a street name prefix/suffix but match does; Input street type differs from match,0.1,,AB402     , NOT FOUND, False,
AB407     ,PETRO CANADA                  ,901 15TH AVE SE               ,SLAVE LAKE     ,AB,T0G2  ,55.2656,-114.7643, NOT FOUND, False,,Slave Lake,AB,T0G 2A0,55.266959,-114.768269,1 - Exact,,0.2,,AB407     , NOT FOUND, False,
AB411     ,FLYING J 813                  ,85 EAST LAKE CRES.            ,AIRDRIE        ,AB,T4B2B ,51.2927,-113.9982, NOT FOUND, False,,Airdrie,AB,T4A 2H6,51.29273,-113.998821,1 - Exact,Input does not include a street name prefix/suffix but match does,0,,AB411     , NOT FOUND, False,
AB412     ,FLYING J 814                  ,2525 23 ST N.E.               ,CALGARY        ,AB,T2E7M ,51.0748,-114.0048, @Flying J Cardlock #814, True,,Calgary,AB,T2E 8L2,51.074474,-114.004248,1 - Exact,,0.1,,AB412     , @Flying J Cardlock #814, True,
AB413     ,FLYING J 540609               ,5505 JUBILEE AVE              ,DRAYTON VALLEY ,AB,T7A1S ,53.2262,-114.9874, @Flying J Cardlock #815, True,,Drayton Valley,AB,T7A 0A5,53.226904,-114.987797,1 - Exact,,0.1,,AB413     , NOT FOUND, False,
AB414     ,FLYING J 540610               ,15609 121 A AVENUE            ,EDMONTON       ,AB,T5V1B ,53.5736,-113.5967, NOT FOUND, False,,Edmonton,AB,T5V 1B1,53.57351,-113.591129,1 - Exact,Input does not include a street name prefix/suffix but match does,0.2,,AB414     , NOT FOUND, False,
AB415     ,FLYING J 817                  ,294 KELLY ROAD                ,HINTON         ,AB,T7V1H ,53.4052,-117.584, NOT FOUND, False,,Hinton,AB,T7V 1H2,53.405177,-117.584925,2 - Good,Input street name differs somewhat from match,0,,AB415     , NOT FOUND, False,
AB416     ,FLYING J 818                  ,2520 2 AVE                    ,EDSON MOTCO    ,AB,T7E1T ,53.5722,-116.4583, NOT FOUND, False,,,,,0,0,4 - Failed,No matching city found,-1,,AB416     , NOT FOUND, False,
