Location ID,Name,Address,City,State,Zip Code,Latitude,Longitude,Pricing Provider,Network ID,Trimble_POI_Name,Contains,Trimble_StreetAddress,Trimble_City,Trimble_MAPS_State,Trimble_Zipcode
AZ284     ,LOVES 296                     ,820 W. PIMA                   ,GILA BEND      ,AZ,85337,32.9446,-112.7333,COMDATA   ,Loves                                   , @Love's #296, True,AZ-85,Gila Bend,AZ,85337
AZ285     ,PILOT 211                     ,14750 S. HWY 95               ,LAKE HAVASU CIT,AZ,86404,34.7283,-114.3152,COMDATA   ,Pilot                                   , @Pilot Travel Center #211, True,AZ-95,Lake Havasu City,AZ,86404
AZ290     ,LOVES 265                     ,5000 N. SUNLAND GIN ROAD      ,ELOY           ,AZ,85131,32.8119,-111.6719,COMDATA   ,Loves                                   , @Pride Travel Center, True,5240 South Sunland Gin Road,Eloy,AZ,85131
AZ291     ,PILOT 279                     ,769 E FRONTAGE RD.            ,RIO RICO       ,AZ,85648,31.4312,-110.9622,COMDATA   ,Pilot                                   , @Pilot Travel Center #279, True,777 East Frontage Road,Rio Rico,AZ,85648
AZ303     ,LOVES 460                     ,"I-10, EXIT 302                ",BENSON         ,AZ,85602,31.9627,-110.3447,COMDATA   ,Loves                                   , @Love's #460, True,637 Whetstone Commerce Drive,Benson,AZ,85602
AZ327     ,LOVES 553                     ,I-40 EXIT 163                 ,WILLIAMS       ,AZ,86046,35.2633,-112.1942,COMDATA   ,Loves                                   , @Love's #553, True,North Grand Canyon Boulevard,Williams,AZ,86046
AZ351     ,LOVES 272                     ,6035 E. MINERVA LANE          ,KINGMAN        ,AZ,86401,35.1995,-113.904,COMDATA   ,Loves                                   , @Love's #272, True,6035 Minerva Lane,Kingman,AZ,86401
AZ366     ,PILOT 458                     ,619 S. SUNSHINE BLVD.         ,ELOY           ,AZ,85231,32.7381,-111.5494,COMDATA   ,Pilot                                   , @Pilot Travel Center #458, True,851 East Milligan Road,Eloy,AZ,85131
AZ367     ,PILOT 459                     ,900 N. 99TH AVE.              ,AVONDALE       ,AZ,85323,33.457,-112.2736,COMDATA   ,Pilot                                   , @Pilot Travel Center #459, True,West Roosevelt Street,Avondale,AZ,85392
AZ383     ,LOVES 349                     ,2931 E GILA RIDGE RD          ,YUMA           ,AZ,85365,32.6859,-114.5828,COMDATA   ,Loves                                   , @Love's #349, True,South Avenue 3 East,Yuma,AZ,85365
AZ456     ,TA_HOLBROOK 246               ,3747 EXPRESS DRIVE            ,HOLBROOK       ,AZ,86025,34.905,-110.2109,COMDATA   ,TA                                      , @TA-Holbrook #246, True,3747 Express Drive,Holbrook,AZ,86025
AZ478     ,LOVES 386                     ,I-40 / HWY 95                 ,LAKE HAVASU CIT,AZ,86404,34.7238,-114.3153,COMDATA   ,Loves                                   , @Love's #386, True,14875 AZ-95,Lake Havasu City,AZ,86404
